duration,distance,place,type
08:18:45,397.73,VITÓRIA,VUC
07:15:32,397.56,SÃO PAULO,VUC
05:51:49,396.09,SÃO PAULO,TOCO
07:26:10,395.7,DUQUE DE CAXIAS,VUC
06:09:12,395.65,SÃO PAULO,VUC
07:12:47,395.4,SÃO PAULO,VUC
08:57:41,394.09,DUQUE DE CAXIAS,VUC
06:06:21,392.52,SÃO PAULO,TOCO
05:52:48,392.42,SÃO PAULO,TOCO
06:16:02,391.92,SÃO PAULO,TOCO
07:48:11,391.9,MACAÉ,CARRETA
07:33:57,388.39,MACAÉ,CARRETA
08:47:00,386.49,DUQUE DE CAXIAS,TOCO
07:07:40,385.73,VITÓRIA,VUC
05:25:57,385.23,SÃO PAULO,VUC
07:46:55,385.22,SÃO PAULO,VUC
08:42:08,383.49,DUQUE DE CAXIAS,VUC
07:35:40,381.3,VITÓRIA,VUC
08:49:19,381.26,SÃO PAULO,VUC
07:06:48,380.68,SÃO PAULO,VUC
07:07:38,379.3,SÃO PAULO,TOCO
09:53:06,378.55,RISER,CARRETA
07:29:58,378.3,VITÓRIA,VUC
10:28:39,377.1,MACAÉ,VUC
08:06:59,375.82,SÃO PAULO,VUC
08:06:42,375.68,MACAÉ,CARRETA
06:57:15,375.01,SÃO PAULO,VUC
08:08:26,374.49,SÃO PAULO,VUC
06:33:59,372.66,SÃO PAULO,TOCO
09:32:52,372.61,VITÓRIA,VUC
07:50:58,369.88,DUQUE DE CAXIAS,TOCO
06:36:24,368.58,DUQUE DE CAXIAS,TOCO
06:15:11,366.84,VITÓRIA,VUC
05:05:32,365.41,SÃO PAULO,TOCO
07:24:04,365.22,DUQUE DE CAXIAS,VUC
08:25:50,364.89,DUQUE DE CAXIAS,VUC
10:10:38,363.91,MACAÉ,CARRETA
06:12:27,363.63,SÃO PAULO,TOCO
07:54:22,363.26,DUQUE DE CAXIAS,CARRETA
07:40:03,363.18,MACAÉ,CARRETA
08:30:15,362.92,MACAÉ,CARRETA
