iter	RMSE
0	1.064883413
1	1.035730008
2	1.006042192
3	0.9815064013
4	0.9583193616
5	0.9344088831
6	0.9095858869
7	0.886085141
8	0.861890369
9	0.8386448787
10	0.8179449111
11	0.7951406354
12	0.7737309901
13	0.7541106841
14	0.736495613
15	0.7171492283
16	0.6992017962
17	0.6833237138
18	0.6668534919
19	0.6483075251
20	0.6324143566
21	0.6166868823
22	0.6023832043
23	0.5897408908
24	0.577033123
25	0.5631483948
26	0.5499538035
27	0.5383116649
28	0.5260046286
29	0.5142350917
30	0.5021112305
31	0.4902448925
32	0.4801304869
33	0.4705944122
34	0.4596521808
35	0.4503934907
36	0.4385647058
37	0.429847293
38	0.4202023655
39	0.4119581474
40	0.4032255344
41	0.3932207633
42	0.3855283565
43	0.3772254027
44	0.3690243254
45	0.3617752485
46	0.3546373328
47	0.3460625624
48	0.3395875167
49	0.3339997818
50	0.3282381523
51	0.3228639575
52	0.3166237948
53	0.3105496761
54	0.3044055997
55	0.2975814032
56	0.2922493944
57	0.2876592862
58	0.2824585303
59	0.2780958501
60	0.2736374493
61	0.2692090288
62	0.2646793246
63	0.2606562938
64	0.2564549347
65	0.2521850791
66	0.2473576848
67	0.2420427702
68	0.2378421021
69	0.2338961146
70	0.2302883333
71	0.2266254957
72	0.2224267427
73	0.2185974461
74	0.2155676196
75	0.2120593336
76	0.2086288477
77	0.2054701161
78	0.2028556839
79	0.1991508347
80	0.1963927752
81	0.1933637253
82	0.1909113552
83	0.1883084453
84	0.1853007475
85	0.1828405395
86	0.1803217481
87	0.1779295603
88	0.1749192268
89	0.1725627117
90	0.1702819389
91	0.1677237921
92	0.1654405572
93	0.1632810174
94	0.1608844032
95	0.1588338789
96	0.1566979494
97	0.1550529317
98	0.1529742581
99	0.1509129197
100	0.1484966686
101	0.1467282961
102	0.1445427326
103	0.1424956786
104	0.140814864
105	0.1388564374
106	0.1373397319
107	0.1361149343
108	0.1348178354
109	0.1327875103
110	0.1313246931
111	0.1298384731
112	0.1284409304
113	0.126848819
114	0.1253133641
115	0.1237146918
116	0.1224446977
117	0.1212649676
118	0.1201647018
119	0.1188996735
120	0.1177486974
121	0.116652155
122	0.1155552345
123	0.1143524313
124	0.1133523783
125	0.1122793815
126	0.1110263904
127	0.1102811824
128	0.1090363435
129	0.1077128625
