data,alcohol
"[11882,12891,16660,16236,15812,15367,15063,14336,12112,9637,8552,7675,7332,7434,7232,7053,7017,6677,6833,6735,6657,6582,6516,6451,6389,6341,6288,6218,6196,6152,6110,6056,6031,5997,5963,5917,5881,5855,5819,5786,5756,5707,5703,5673,5638,5624,5600,]", False
"[5040,5699,8344,8266,8225,8218,8008,7427,5440,4972,4780,4713,4701,4710,4727,4744,4768,4788,4810,4831,4850,4868,4884,4901,4914,4934,4950,4966,4978,4992,5004,5018,5030,5046,5057,5069,5078,5084,5103,5108,5126,5135,5143,5153,5162,5172,5182,]", False
"[5882,6408,7953,7085,6400,5959,5616,5262,4907,4302,3845,3650,3558,3518,3500,3498,3497,3495,3494,3494,3494,3485,3493,3492,3491,3491,3489,3489,3489,3489,3489,3489,3489,3489,3491,3491,3491,3489,3491,3495,3495,3496,3498,3497,3493,3502,3503,]", False
"[7581,8574,12646,12274,12267,12118,12062,11759,10654,8251,7471,7120,6757,6894,6858,6837,6820,6802,6760,6786,6780,6773,6770,6761,6757,6750,6697,6700,6740,6740,6735,6735,6736,6678,6737,6692,6735,6728,6730,6734,6736,6737,6734,6671,6731,6738,6733,]", False
"[16058,16925,18864,18215,17691,17210,16651,16075,12518,8828,7355,6960,6915,6966,7046,7132,7210,7286,7370,7440,7512,7569,7620,7680,7729,7781,7825,7872,7917,7958,8001,8041,8078,8094,8129,8193,8229,8262,8296,8315,8359,8392,8389,8453,8484,8480,8534,]", False
"[10782,11917,15987,15522,15086,14988,14666,11861,9908,9355,9053,8875,8811,8726,8666,8609,8546,8486,8458,8411,8367,8325,8237,8247,8219,8184,8152,8125,8097,8075,8052,8020,8005,7974,7949,7938,7925,7907,7890,7825,7842,7847,7832,7830,7811,7792,7776,]", False
